id,headline_phrase,nutrient,topic,direction,evidence_grade,study_design,year,pmid,population,n,medication_interaction,claim,journal,citation,doi,url,open_access,source_quality_flag,review_status,contributor,date_added,notes
1,Vitamin B12 deficiency in older adults produces neuropsychiatric presentations that are readily mistaken for primary psychiatric illness.,b12,neuropsychiatric,supports,moderate,narrative-review,2012,,"Adults, focus on elderly",,,"Review of the neuropsychiatric manifestations of vitamin B12 deficiency in elderly patients, covering presentation, diagnosis and treatment.",The Journal of Neuropsychiatry and Clinical Neurosciences,"Lachner C, Steinle NI, Regenold WT. The Neuropsychiatry of Vitamin B12 Deficiency in Elderly Patients. J Neuropsychiatry Clin Neurosci. 2012;24(1):5-15.",10.1176/appi.neuropsych.11020052,https://psychiatryonline.org/doi/10.1176/appi.neuropsych.11020052,no,ok,verified,seed,2026-09-19,"Metadata verified against Crossref. Narrative review, so it summarizes the literature rather than testing anything."
2,"Frank folate deficiency has been under 1% of the US population since fortification. The often-quoted 20% figure is folate insufficiency in women of childbearing age, defined by neural tube defect risk, not by any mental health threshold.",folate,prevalence,background,strong,survey-data,2019,31504109,"US population, NHANES 1999-2016; insufficiency figures are women aged 12-49","23684 serum and 24150 RBC samples in 2011-2016, ages 1 and over",,"Folate deficiency (serum <7 nmol/L or RBC <305 nmol/L) was under 1% in persons aged 3 and over in every NHANES cycle from 1999 to 2016. Folate insufficiency (RBC <748 nmol/L, a neural tube defect risk threshold applied to women) was 18.6% in women aged 12 to 49 in 2011-2016 and 23.2% in 2007-2010.",The American Journal of Clinical Nutrition,"Pfeiffer CM, Sternberg MR, Zhang M, Fazili Z, Storandt RJ, Crider KS. Folate status in the US population 20 y after the introduction of folic acid fortification. Am J Clin Nutr. 2019;110(5):1088-1097.",10.1093/ajcn/nqz184,https://pmc.ncbi.nlm.nih.gov/articles/PMC6821545/,yes,ok,verified,seed,2026-09-19,Verified against the full text. The paper discusses neural tube defects only and contains no discussion of neuropsychiatric outcomes. Do not cite it as evidence that folate status affects mental health.
3,"Serum B12 alone misses deficiency. Methylmalonic acid and holotranscobalamin detect it earlier, which matters because the neurological damage can be irreversible.",b12,testing,supports,moderate,narrative-review,2008,19623286,"Adults, with attention to elderly, vegetarians and people with gastrointestinal disease",,,"Review of the causes of B12 deficiency and of early diagnosis, arguing that holotranscobalamin and methylmalonic acid outperform total serum B12.",Deutsches Arzteblatt International,"Herrmann W, Obeid R. Causes and early diagnosis of vitamin B12 deficiency. Dtsch Arztebl Int. 2008;105(40):680-685.",10.3238/arztebl.2008.0680,https://pmc.ncbi.nlm.nih.gov/articles/PMC2696961/,yes,ok,verified,seed,2026-09-19,"Verified. Sometimes cited as evidence that subclinical B12 deficiency has neuropsychiatric consequences. It is actually a review of causes and diagnosis, and supports the testing claim well and the neuropsychiatric claim only in passing."
4,"More than a quarter of people with neuropsychiatric damage from B12 deficiency had no anemia and no enlarged red cells, so a normal blood count does not rule it out.",b12,neuropsychiatric,supports,strong,case-series,1988,3374544,Adults referred with neurological disease,141,,"Of 141 consecutive patients with neuropsychiatric abnormality from cobalamin deficiency, 40 (28%) had neither anemia nor macrocytosis. All 39 evaluable patients improved on treatment.",The New England journal of medicine,Lindenbaum J et al. Neuropsychiatric disorders caused by cobalamin deficiency in the absence of anemia or macrocytosis. The New England journal of medicine. 1988;318:1720-8.,,https://pubmed.ncbi.nlm.nih.gov/3374544/,,ok,verified,seed,2026-09-19,Uncontrolled consecutive series. The response to treatment is what carries the causal weight.
5,"How severe the damage becomes tracks how long the diagnosis was missed, which is the most actionable finding in this whole area.",b12,neuropsychiatric,supports,strong,case-series,1991,1648656,"Adults, 153 episodes over 17 years",143,,"Dementia, psychoses and mood disturbance documented. Hematocrit normal in 27%, mean cell volume normal in 23%. All 121 evaluable episodes responded, complete recovery in 47%.",Medicine,Healton EB et al. Neurologic aspects of cobalamin deficiency. Medicine. 1991;70:229-45.,,https://pubmed.ncbi.nlm.nih.gov/1648656/,,ok,verified,seed,2026-09-19,Severity before treatment tracked duration of symptoms before diagnosis.
6,"Four out of five confirmed Wernicke cases were never diagnosed while the patient was alive, and only 16% had the classic three symptoms.",b1-thiamine,neuropsychiatric,supports,strong,case-series,1986,3701343,Autopsy-confirmed cases,131,,"Of 131 necropsy-confirmed cases, 80% were undiagnosed in life, only 16% had the classic triad, and 19% had no documented clinical signs at all.","Journal of neurology, neurosurgery, and psychiatry","Harper CG et al. Clinical signs in the Wernicke-Korsakoff complex: a retrospective analysis of 131 cases diagnosed at necropsy. Journal of neurology, neurosurgery, and psychiatry. 1986;49:341-5.",,https://pubmed.ncbi.nlm.nih.gov/3701343/,,ok,verified,seed,2026-09-19,"The triad is the exception, not the presentation. This is the single strongest argument for a low threshold to treat."
7,"Two of four signs is a better rule than waiting for the classic triad, and it was validated against autopsy findings.",b1-thiamine,testing,supports,strong,case-control,1997,9010400,Alcohol-dependent adults with neuropathological diagnoses,106,,"Operational criteria requiring two of four: dietary deficiency, eye movement abnormality, cerebellar dysfunction, or altered mental state or mild memory impairment.","Journal of neurology, neurosurgery, and psychiatry","Caine D et al. Operational criteria for the classification of chronic alcoholics: identification of Wernicke's encephalopathy. Journal of neurology, neurosurgery, and psychiatry. 1997;62:51-60.",,https://pubmed.ncbi.nlm.nih.gov/9010400/,,ok,verified,seed,2026-09-19,Adopted by European neurological guidance. Inter-rater reliability was complete across three raters.
8,"Pellagra was found at autopsy in 27% of people with chronic alcoholism and had been diagnosed in life in none of them, because most had no rash.",b3-niacin,neuropsychiatric,supports,strong,case-series,1981,7229643,Necropsies of people with chronic alcoholism,74,,"20 of 74 necropsies showed pellagra. In none had the diagnosis been established clinically, because in the majority there were no skin lesions.","Journal of neurology, neurosurgery, and psychiatry","Ishii N et al. Pellagra among chronic alcoholics: clinical and pathological study of 20 necropsy cases. Journal of neurology, neurosurgery, and psychiatry. 1981;44:209-15.",,https://pubmed.ncbi.nlm.nih.gov/7229643/,,ok,verified,seed,2026-09-19,The origin of the phrase pellagra without the rash. Suspect it in alcohol dependence with mental or neurological symptoms even with normal skin.
9,"Alcoholic pellagra encephalopathy presents as confusion, rigidity and myoclonus, and is routinely missed because other alcohol-related conditions are present at the same time.",b3-niacin,neuropsychiatric,supports,moderate,case-series,1988,3401685,Heavy drinkers with autopsy-proven lesions,22,,"Confusion or clouded consciousness, marked oppositional rigidity and myoclonus. Often unrecognized because other alcoholic encephalopathies coexisted.",Brain : a journal of neurology,Serdaru M et al. The clinical spectrum of alcoholic pellagra encephalopathy. A retrospective analysis of 22 cases studied pathologically. Brain : a journal of neurology. 1988;111 ( Pt 4):829-42.,,https://pubmed.ncbi.nlm.nih.gov/3401685/,,ok,verified,seed,2026-09-19,"Also reports that treating with thiamine and pyridoxine without niacin appeared to worsen 9 cases. The companion pathology paper on the same patients disagrees, so that part is not settled."
10,"The largest trial ever run found vitamin D did not prevent depression, in more than 18,000 adults followed over five years.",vitamin-d,neuropsychiatric,does-not-support,strong,rct,2020,32749491,US adults aged 50 and over,18353,,"2000 IU daily vitamin D3 versus placebo, median 5.3 years. Depression or clinically relevant depressive symptoms hazard ratio 0.97. Mood score difference 0.01.",JAMA,Okereke OI et al. Effect of Long-term Vitamin D3 Supplementation vs Placebo on Risk of Depression or Clinically Relevant Depressive Symptoms and on Change in Mood Scores: A Randomized Clinical Trial. JAMA. 2020;324:471-480.,,https://pubmed.ncbi.nlm.nih.gov/32749491/,,ok,verified,seed,2026-09-19,"Important limitation: only 2.4% of participants were deficient at baseline, so this tested supplementing replete people rather than correcting a deficiency."
